k,Good points,Perimeter,circle perimeter,Naive perimeter,Configs computed,Max angle of sol,Longest edge len,Running time in seconds
2790,1400,185.95276739995904,186.1018235465337,187.2436220918141,649576,0.24497866312686423,11,0.631137291
2791,1401,185.99193943450976,186.12158838437077,187.2771752902004,650841,0.3217505543966423,12,0.658167758
2792,1401,186.01726250220503,186.16076041892146,187.31072247816144,651536,0.24497866312686423,8,0.669413475
2793,1401,186.05643453675575,186.19993245347217,187.34426365892597,652217,0.3217505543966423,9,0.674797303
2794,1401,186.09105281953646,186.23910448802292,187.37779883571991,652883,0.24497866312686423,8,0.650072845
2795,1401,186.13022485408717,186.27827652257363,187.41132801176636,653555,0.3217505543966423,9,0.665529691
2796,1399,186.16484313686786,186.29804136041074,187.44485119028542,654160,0.24497866312686423,8,0.623553963
2797,1400,186.19540808707833,186.3178061982478,187.47836837449435,655498,0.24497866312686423,9,0.673561957
2798,1399,186.23458012162905,186.3375710360849,187.51187956760756,656131,0.3217505543966423,10,0.641906694
2799,1398,186.26919840440976,186.35733587392198,187.5453847728366,656401,0.24497866312686423,9,0.654900181
2800,1399,186.30837043896048,186.39650790847273,187.57888399339004,657682,0.3217505543966423,10,0.659891852
2801,1400,186.33632214068774,186.43567994302344,187.61237723247376,658972,0.24497866312686423,11,0.669099402
2802,1403,186.36040825271263,186.49530494615647,187.64586449329067,661329,0.24497866312686423,11,0.670438392
2803,1406,186.39958028726335,186.5549299492895,187.6793457790408,663727,0.3217505543966423,12,0.676983815
2804,1406,186.42490335495862,186.61455495242248,187.71282109292142,664392,0.24497866312686423,9,0.686890751
2805,1406,186.46407538950933,186.6741799555555,187.74629043812683,665086,0.3217505543966423,10,0.646676132
2806,1406,186.49869367229005,186.7338049586885,187.77975381784861,665778,0.24497866312686423,10,0.674722086
2807,1406,186.52925862250052,186.79342996182152,187.81321123527545,666448,0.24497866312686423,9,0.655952615
2808,1409,186.55487671578217,186.85305496495448,187.84666269359315,668952,0.24497866312686423,9,0.679635605
2809,1412,186.57896282780706,186.91267996808747,187.8801081959847,671645,0.24497866312686423,8,0.680832152
2810,1400,186.60304893983192,187.05481559181842,187.9135477456303,658076,0.24497866312686423,9,0.635610176
2811,1400,186.64222097438264,187.08887849810884,187.94698134570726,658056,0.3217505543966423,10,0.675808787
2812,1400,186.67683925716335,187.12294140439926,187.98040899939014,658431,0.24497866312686423,10,0.63732358
